"programid","total_volume_terabytes","count_requests","ip"
"jw01022","2.77","75397","190"
"jw01074","1.361","55646","96"
"jw01442","0.822","4042","27"
"jw01118","0.698","17403","25"
"jw01089","0.495","22192","23"
"jw01033","0.343","2625","26"
"jw01445","0.181","26133","49"
"jw01059","0.139","9403","18"
"jw01541","0.12","950","19"
"jw01021","0.113","5954","29"
"jw01050","0.109","7710","4"
"jw01040","0.092","12033","5"
"jw01125","0.092","16017","19"
"jw01037","0.081","5082","7"
"jw01090","0.073","9968","15"
"jw01031","0.065","9606","3"
"jw01145","0.064","2626","19"
"jw01091","0.03","223","5"
"jw01465","0.03","8626","3"
"jw01444","0.025","1038","14"
"jw01144","0.022","4446","11"
"jw01171","0.021","1766","7"
"jw01449","0.018","1637","22"
"jw01261","0.012","1860","6"
"jw01164","0.009","522","11"
"jw01027","0.009","2846","3"
"jw01029","0.007","2645","4"
"jw01047","0.004","2533","3"
"jw01463","0.003","6330","2"
"jw01124","0.003","1088","4"
"jw01032","0.001","162","3"
"jw01464","0.001","1131","4"
"jw01259","0.001","205","4"
"jw01053","0.001","696","3"
"jw01052","0.001","734","3"
"jw01024","0.001","4196","4"
"jw01406","0.001","392","6"
"jw01012","0.001","181","22"
"jw01034","0.001","394","3"
"jw01038","0.001","1142","5"
"jw01030","0.0","120","4"
"jw01043","0.0","406","4"
"jw01023","0.0","2143","5"
"jw01054","0.0","1105","3"
"jw01051","0.0","2102","2"
"jw01546","0.0","82","5"
"jw01045","0.0","1782","3"
"jw01028","0.0","1469","3"
"jw01039","0.0","1308","2"
"jw01049","0.0","3433","3"
"jw01042","0.0","1569","3"
"jw01172","0.0","6","3"
"jw01046","0.0","57","3"
