"geoip.country_iso_code: Descending","Sum of download.size"
CA,41479417740939
US,26986036095633
CN,13720631617699
GB,4578449142237
SA,3815353840836
DE,3137512510247
FR,3077852453822
IT,2462943324221
IN,2334973469981
AU,1959520758120
BR,1309165011346
TR,1295472919750
CL,1220042378179
JP,1142629666771
ES,987563870592
CH,749545042166
NL,653168636991
IE,462194196307
KR,425575283461
PL,415562905349
TW,321680814811
SE,320375129855
AT,313293425916
PH,283689072112
HK,258862408478
IL,258582242183
GR,256934058328
CZ,253299055069
BE,231426790343
RO,225885783921
ZA,196181743623
HU,192378888998
DK,189428869658
NZ,178053107952
LT,158981254357
PT,153463321153
AR,151170013768
BD,146488297435
NO,145095877095
TH,144945782082
CO,143424580308
UA,142690545505
FI,130968233003
IR,93134181386
MX,90843604447
LK,89588708349
MT,87273505852
BG,82152509060
RU,74479440230
EG,69301107593
