"iso_code","Total Requests","Unique IP Addresses"
US,89195744,47259
CN,33234390,4284
CA,22741347,1722
CH,6958066,662
GB,3406456,3470
DE,3044108,5290
FR,2806418,2059
PL,2466889,595
BE,2370755,430
ES,2333185,1046
IT,2148034,1812
IN,1838206,2620
CZ,1524441,366
JP,1463695,1227
HU,1039432,233
TW,1002984,399
NL,1002115,899
TR,905921,685
CL,727279,596
AU,717124,1152
NO,700148,177
BR,693207,1193
KR,635178,943
ID,576931,259
HK,567093,408
PT,547999,152
AT,425253,285
NZ,369566,139
RU,368367,1131
SE,271480,393
MX,237713,289
DK,235729,317
RO,229817,316
GR,191540,257
SK,190548,107
IL,170276,257
AR,121611,206
FI,100352,296
IE,91422,456
SG,78316,245
TH,77213,206
PH,74921,172
UA,72792,220
GE,70806,26
ZA,69463,169
CO,67758,172
LT,63660,52
PK,59112,83
BG,41621,114
IR,40209,402
HR,37570,148
AE,36352,70
MA,30518,120
VN,29396,63
LK,21766,113
CR,21532,20
RS,19734,75
EG,18044,69
PR,17980,29
SA,17273,72
VE,12505,28
SI,12177,38
MY,11982,60
BA,10614,43
KZ,10064,30
UZ,9759,22
EE,9165,32
UY,9129,29
LU,9044,48
BD,8297,58
NP,7744,38
DZ,7322,24
PA,6981,22
RE,6438,4
BH,6050,9
BY,5598,31
OM,5541,19
ET,5522,12
MK,5392,22
EC,5047,19
LV,4789,22
MD,4478,56
MO,4397,10
GT,4294,14
NG,4261,10
IQ,4220,26
AM,4155,20
HN,4029,16
BW,3589,6
SD,3483,12
PE,3379,21
IS,3368,14
TT,3316,7
DO,3249,15
JO,2958,13
CY,2728,16
MT,2728,17
CU,2713,9
KH,2546,34
KE,2493,20
QA,2451,8
SC,2403,19
MU,2214,12
LB,2112,24
TN,1916,14
MM,1805,7
CM,1728,4
UG,1666,6
AL,1637,15
NI,1635,4
SY,1563,3
CK,1534,1
AZ,1332,10
GG,1150,4
ME,1085,7
NC,1013,2
YE,778,2
MN,768,8
TZ,734,3
SN,619,3
ZM,617,3
GP,597,1
GH,563,4
BN,556,2
MV,552,2
CW,547,1
PY,510,6
ZW,492,3
PG,489,3
KW,483,6
JE,420,2
SV,400,17
JM,398,2
KY,372,1
GL,357,1
AW,335,1
AO,325,1
VI,313,2
IM,311,1
HT,304,1
MC,297,4
SX,201,1
DM,200,1
BZ,42,5
BO,33,11
PS,33,7
CV,19,1
FJ,13,1
SS,6,1
RW,5,1
PW,4,4
TJ,4,1
UM,4,1
TM,3,2
CD,2,1
NA,2,1
AD,1,1
BF,1,1
CG,1,1
KG,1,1
MG,1,1
